红黄牌,出场,场均关键传球,创造绝佳机会,场均争顶成功,评分,进球,场均射门,场均射正,把握机会能力,场均过人,场均被侵犯,场均越位,场均抢断,场均拦截,场均解围,场均封堵,场均造越位,场均犯规,致命失误,助攻,创造绝佳机会,场均关键传球,场均传球,传球成功率,前场传球成功率,场均夺回球权,射正率,进球率,把握机会能力,传球成功率,前场传球成功率,中场传球成功率,后场传球成功率,传中成功率,长传成功率,直塞成功率,致命失误/失误
0,0(1),-,-,1,6.58,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,4,75%,50%,2,-,-,-,75%,50%,100%,100%,-,-,-,-
2,30,1.5,7,0.3,7.45,18,2.5,1.1,75%,2.1,2.2,1,0.7,0.1,0.1,-,-,1.4,-,9,7,1.5,29.4,84%,78%,3.2,43%,24%,75%,84%,78%,91%,94%,19%,71%,71%,-
2,6(4),0.3,-,4.5,7.32,6,1.2,0.9,100%,0.2,1.6,0.1,0.5,0.3,0.6,0.2,-,1.6,-,-,-,0.3,22.2,68%,50%,2.1,75%,50%,100%,68%,50%,83%,83%,-,56%,-,-
9,18(11),0.3,-,0.6,6.49,1,1.1,0.2,-,0.7,1.1,0,1.6,0.6,0.6,0.3,-,1.1,2,1,-,0.3,21.9,77%,60%,4.8,19%,3%,-,77%,60%,81%,92%,29%,53%,-,9%
4,24,1.5,6,0.7,7.34,12,3.9,1.3,60%,1.2,2.6,0.5,0.3,0.1,0,0.1,-,0.8,-,3,6,1.5,21.3,80%,75%,2.2,34%,13%,60%,80%,75%,87%,85%,17%,55%,-,-
7,28(1),1.1,6,0.9,7.09,5,1.4,0.7,33%,0.4,1.9,0.1,1.9,1.2,1.3,0.4,0,1.3,-,6,6,1.1,42.8,82%,69%,5.4,50%,12%,33%,82%,69%,88%,90%,25%,66%,50%,-
2,8(1),-,-,2.4,6.85,1,0.6,0.2,-,0.2,0.9,0.1,0.8,1,3.8,1,0.3,1.6,-,-,-,-,43,85%,56%,5.4,40%,20%,-,85%,56%,89%,88%,100%,60%,-,-
5,28,0.4,2,2.3,6.75,3,0.9,0.4,-,0.2,0.8,-,0.9,1.4,2.8,0.3,0.3,0.9,-,3,2,0.4,47.7,84%,59%,4.3,38%,12%,-,84%,59%,87%,92%,7%,51%,-,-
2,23(3),1.4,1,0.8,6.98,8,1.7,1,50%,0.6,1,0.1,1.3,0.5,0.4,0,-,1.3,-,3,1,1.4,33.7,80%,71%,4,60%,19%,50%,80%,71%,85%,93%,19%,61%,-,-
5,14(5),0.1,-,0.7,6.4,-,0.4,0.1,-,0.6,1.1,-,1.3,0.7,2.1,0.1,0.2,1.2,1,-,-,0.1,23.2,71%,62%,2.3,29%,-,-,71%,62%,73%,84%,4%,38%,-,7%
3,19(1),1.6,7,1.9,6.93,-,0.9,0.1,-,0.8,0.9,-,1.4,0.9,1.1,0.2,0.3,1.3,-,6,7,1.6,35.1,71%,57%,3.5,12%,-,-,71%,57%,77%,85%,27%,45%,100%,-
0,0(6),0.2,1,0.3,6.08,-,-,-,-,0.2,0.3,-,-,0.2,-,-,-,1,-,-,1,0.2,4,92%,80%,0.5,-,-,-,92%,80%,100%,100%,-,100%,-,-
2,2(5),0.1,-,0.1,6.18,1,0.4,0.3,-,0.3,0.3,-,0.3,0.1,-,-,0.1,0.9,-,-,-,0.1,10.1,79%,66%,1,67%,33%,-,79%,66%,86%,100%,-,40%,-,-
1,19(2),0.4,1,1.6,6.5,1,0.3,0.1,-,0.2,0.9,-,1.5,0.7,1.3,0.1,0.1,1.5,1,1,1,0.4,33,82%,73%,3.2,50%,17%,-,82%,73%,84%,89%,24%,39%,-,8%
4,15(7),0.7,-,0.6,6.6,-,0.8,0.1,-,0.8,1.5,0,1.1,0.8,0.3,0.3,0,1,-,1,-,0.7,25.3,84%,78%,3.2,17%,-,-,84%,78%,87%,88%,25%,57%,50%,-
6,16(7),0.5,-,0.4,6.39,-,0.3,-,-,0.2,0.6,-,1.3,1.3,0.6,0.2,-,1.4,-,-,-,0.5,33.9,88%,75%,3.5,-,-,-,88%,75%,91%,98%,33%,66%,-,-
3,19(2),0.4,-,1.2,6.35,-,0.4,0,-,0.3,0.4,-,0.9,0.9,1.5,0.6,0.2,1.3,-,-,-,0.4,36.8,80%,63%,5.1,13%,-,-,80%,63%,82%,90%,-,36%,-,-
0,7(4),0.9,2,0.2,6.59,1,0.5,0.1,-,1,0.5,-,0.5,0.3,0.2,-,-,0.2,-,1,2,0.9,17.6,84%,75%,1.5,20%,20%,-,84%,75%,91%,87%,50%,69%,-,-
3,13(3),0.2,-,1.9,6.41,-,0.2,-,-,0.1,0.4,-,0.8,0.6,2.3,0.3,0.2,1.3,-,-,-,0.2,29.2,82%,59%,2.3,-,-,-,82%,59%,83%,92%,-,46%,-,-
2,8(5),0.1,-,1.2,6.42,-,0.3,-,-,0.4,1.1,-,0.6,0.8,0.9,0.2,0.2,1.2,-,-,-,0.1,31.4,83%,78%,2.3,-,-,-,83%,78%,86%,85%,29%,40%,-,-
2,5(2),-,-,1.4,5.93,-,0.1,-,-,0.1,0.7,-,0.7,0.7,0.4,0.3,0.1,2.1,1,-,-,-,19.7,78%,71%,1.4,-,-,-,78%,71%,77%,92%,-,38%,-,20%
2,0(8),0.5,-,0.4,6.15,-,0.3,0.1,-,-,0.1,0.1,0.5,0.3,0.1,-,-,1,-,-,-,0.5,3.5,64%,50%,0.3,50%,-,-,64%,50%,80%,100%,-,-,-,-
1,1(1),-,-,0.5,6.53,-,-,-,-,-,1,-,1.5,1,-,-,-,2,-,-,-,-,15.5,81%,29%,2,-,-,-,81%,29%,95%,100%,-,33%,-,-
0,0(1),-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,20(1),0.7,4,1.1,7.4,12,3.6,1.4,54%,1.9,1.9,0.5,0.5,0.1,0.4,-,-,1,-,4,4,0.7,23.7,82%,78%,2.9,40%,16%,54%,82%,78%,86%,90%,12%,62%,33%,-
3,22,0.6,-,4.4,7.32,8,2.1,1.1,63%,0.2,0.7,0.2,1.4,1,2.5,0.4,0,2.1,1,3,-,0.6,48.3,85%,73%,6.6,52%,17%,63%,85%,73%,88%,96%,-,64%,-,4%
1,7,0.1,1,4.6,6.86,-,0.1,-,-,-,0.1,-,1.9,1.4,4.1,0.7,1,1.1,-,-,1,0.1,60.1,82%,46%,8,-,-,-,82%,46%,84%,96%,-,51%,-,-
2,24(1),1.7,5,6.2,7.79,17,3.4,1.7,78%,0.4,1.5,0.1,0.2,0,1.2,0,-,1,-,4,5,1.7,29.4,75%,66%,2.4,50%,20%,78%,75%,66%,82%,92%,50%,74%,-,-
0,5(3),1.4,1,0.9,6.85,1,1.5,0.8,50%,0.5,0.6,-,0.6,0.3,0.9,0.6,-,1.1,-,1,1,1.4,36,83%,74%,4,50%,8%,50%,83%,74%,87%,95%,67%,59%,-,-
0,10(9),0.9,5,0.1,6.8,2,1.1,0.4,-,0.7,0.6,0.1,1.4,0.4,0.1,-,-,0.7,-,5,5,0.9,24.1,81%,77%,3.6,33%,10%,-,81%,77%,83%,86%,29%,54%,100%,-
1,11(4),1.7,3,0.3,6.68,-,0.5,0.1,-,0.3,0.9,0.1,1.9,0.5,0.7,0.3,0.1,1.3,-,1,3,1.7,33.7,84%,78%,5.5,13%,-,-,84%,78%,88%,92%,35%,68%,-,-
